generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,dominated_pareto_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
26,global_gen_26.pkl,208,57,151,56173.2687356174,459644.7042530775,0.7426999807357788,0.9161999821662903,0.9037947205075046,0.9101999998092651,0.023558380334996253,63306.0,909706.0,497300.6140350877,518230.0,202691.32205318953,57,4,0.0,0.3994933490927984,0.02508995197782966,0.0019277094821366291,0.07125156572602574
27,global_gen_27.pkl,215,57,158,56173.2687356174,459644.7042530775,0.7426999807357788,0.9161999821662903,0.9037648962255109,0.9101999998092651,0.023665560479772717,63306.0,909706.0,491220.8596491228,518230.0,195552.28915428207,57,4,0.0,0.3994933490927984,0.02525565811529111,0.0017627124080254665,0.07131501581175079
28,global_gen_28.pkl,222,58,164,56166.369861513376,459795.20512509346,0.7426999807357788,0.9164999723434448,0.9039844665034064,0.9101999998092651,0.023516577235415153,63306.0,909706.0,492492.775862069,518230.0,194071.22163774417,58,4,0.0,0.39880690222555,0.024784948556499722,0.0017504287008279257,0.07064787996561081
29,global_gen_29.pkl,225,59,166,56166.369861513376,459795.20512509346,0.7426999807357788,0.9164999723434448,0.9045660859447414,0.9101999998092651,0.02319158286059359,63306.0,909706.0,501150.89830508473,518230.0,184982.57123109014,59,4,0.0,0.39880690222555,0.02398579119117574,0.0014542807009880296,0.0699690354264589
30,global_gen_30.pkl,229,58,171,56166.369861513376,459795.20512509346,0.7426999807357788,0.9164999723434448,0.9043655015271286,0.9101999998092651,0.02334245089434706,63306.0,909706.0,500050.1896551724,518230.0,186403.16801007293,58,4,0.0,0.39880690222555,0.024429972509530846,0.0015964616011928476,0.07054772068581361
31,global_gen_31.pkl,235,60,175,55969.96825578809,459853.86112332344,0.7426999807357788,0.9164999723434448,0.9040149837732315,0.9101999998092651,0.022986428144601338,63242.0,909706.0,492243.38333333336,518209.0,191515.69754506444,60,4,0.0,0.39880676622109695,0.023809135660664407,0.0017503724901204833,0.06917396107492363
32,global_gen_32.pkl,241,60,181,55969.96825578809,459853.86112332344,0.7426999807357788,0.9164999723434448,0.9040633171796799,0.9101999998092651,0.022998850316856098,63242.0,909706.0,492192.98333333334,518209.0,191509.14630903836,60,4,0.0,0.39880676622109695,0.023809135660664407,0.0017503724901204833,0.06917478336548581
33,global_gen_33.pkl,248,64,184,55969.42466455698,459853.86112332344,0.7426999807357788,0.9164999723434448,0.9048546710982919,0.9102999866008759,0.022372843148034574,63242.0,909706.0,495923.796875,518230.0,185959.935202659,64,4,0.0,0.39880676622109695,0.02223600755246115,0.0017368694857102288,0.06711026952922157
34,global_gen_34.pkl,254,63,191,55969.42466455698,459853.86112332344,0.7426999807357788,0.9164999723434448,0.9050682376301478,0.9103999733924866,0.022474084333555584,63242.0,909706.0,502059.15873015876,518230.0,178927.11401440192,63,4,0.0,0.39880676622109695,0.02261288903640117,0.001735097407984537,0.06767089868267036
35,global_gen_35.pkl,259,63,196,55969.42466455698,459853.86112332344,0.7426999807357788,0.9164999723434448,0.9046904596071395,0.9101999998092651,0.022512983513582364,63242.0,909706.0,494200.4285714286,518230.0,187094.42170713234,63,4,0.0,0.39880676622109695,0.02261288903640117,0.001735097407984537,0.067624516732672
36,global_gen_36.pkl,266,68,198,52973.49517130852,459853.86112332344,0.7426999807357788,0.9164999723434448,0.9045838073772543,0.9101999998092651,0.02181101047173484,63242.0,909706.0,479375.0,518219.5,196563.0443484288,68,4,0.0,0.39880676622109695,0.023324424713668947,0.0014463908826819198,0.06735615924731315
37,global_gen_37.pkl,273,71,202,53945.45029580593,460088.48511624336,0.7426999807357788,0.9164999723434448,0.9036281528607221,0.9101999998092651,0.021720057992109267,62986.0,1293142.0,472123.5633802817,518209.0,231605.40282988295,71,4,0.0,0.15799079944820293,0.014937025127547729,0.0017324347017790992,0.03678351267235012
38,global_gen_38.pkl,281,70,211,53435.58382034302,460088.48511624336,0.7426999807357788,0.9164999723434448,0.9038856983184814,0.9101999998092651,0.021820428491292617,62986.0,1293142.0,474448.71428571426,518209.0,229261.28080955782,70,4,0.0,0.15799079944820293,0.015163343690086331,0.001720766726187132,0.034924985798326834
39,global_gen_39.pkl,285,71,214,84888.8428940773,812175.0943965912,0.7426999807357788,0.9187999963760376,0.9041056179664504,0.9101999998092651,0.02174049487954111,62986.0,1293142.0,481103.4929577465,518209.0,234423.07663422028,71,4,0.0,0.13850991701896143,0.012919873722426546,0.001712226319570458,0.029780661125343652
40,global_gen_40.pkl,290,71,219,84888.8428940773,812175.0943965912,0.7426999807357788,0.9187999963760376,0.9041732239051604,0.9101999998092651,0.021771888773427662,62986.0,1293142.0,481762.40845070424,518230.0,234594.5486220597,71,4,0.0,0.13850991701896143,0.012919873722426546,0.001712226319570458,0.029777315236492827
