generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
17,global_gen_17.pkl,157,32,125,59189.654741346836,0.885699987411499,0.911300003528595,0.9015218652784824,0.911300003528595,0.011950332436333718,515302.0,518230.0,517040.875,518230.0,1460.5849413737435,32,2,0.0,0.9117684497589511,0.06666666666666667,0.0,0.22481817727624373
18,global_gen_18.pkl,164,32,132,59189.654741346836,0.885699987411499,0.911300003528595,0.9005812406539917,0.911300003528595,0.012281217118110206,515302.0,518230.0,516949.3125,518230.0,1475.399354084262,32,2,0.0,0.9117684497589511,0.06666666666666667,0.0,0.22481817727624373
19,global_gen_19.pkl,170,35,135,59189.654741346836,0.885699987411499,0.911300003528595,0.8995628459112984,0.9091999530792236,0.01221904412867203,515302.0,518230.0,516808.22857142857,518230.0,1484.3495522542225,35,2,0.0,0.9117684497589511,0.06060606060606061,0.0,0.21490364005625986
20,global_gen_20.pkl,178,34,144,59189.654741346836,0.885699987411499,0.911300003528595,0.9011941078831168,0.911300003528595,0.011928687149485646,515302.0,518232.0,517024.76470588235,518230.0,1462.3165527801289,34,3,0.0,0.8118178427005267,0.05252335518858242,0.0,0.17718143849047682
21,global_gen_21.pkl,183,33,150,59189.654741346836,0.885699987411499,0.911300003528595,0.900266656369874,0.911300003528595,0.01222213965259676,515302.0,518230.0,516899.45454545453,518230.0,1480.138530064608,33,2,0.0,0.9117684497589511,0.06451612903225806,0.0,0.22136352059070777
22,global_gen_22.pkl,190,32,158,59189.654741346836,0.885699987411499,0.911300003528595,0.9007218647748232,0.911300003528595,0.012130159176837211,515302.0,518230.0,516949.375,518230.0,1475.3273611577347,32,2,0.0,0.9117684497589511,0.06666666666666667,0.0,0.22481817727624373
23,global_gen_23.pkl,196,37,159,59189.654741346836,0.885699987411499,0.911300003528595,0.9001972868635848,0.911300003528595,0.01217579567464072,515302.0,518230.0,516885.08108108107,518230.0,1478.8914462900616,37,2,0.0,0.9117684497589511,0.05714285714285714,0.0,0.20897514566740052
24,global_gen_24.pkl,203,36,167,59189.654741346836,0.885699987411499,0.911300003528595,0.9003972113132477,0.9102499783039093,0.012068944364965133,515302.0,518232.0,516929.1111111111,518230.0,1475.1829286620264,36,3,0.0,0.817677022159289,0.049340121540789546,0.0,0.17225927711682348
25,global_gen_25.pkl,207,35,172,59189.654741346836,0.885699987411499,0.911300003528595,0.9008971333503724,0.911300003528595,0.01213858612060459,515302.0,518230.0,516975.4857142857,518230.0,1469.7368586292737,35,2,0.0,0.9117684497589511,0.06060606060606061,0.0,0.21490364005625986
26,global_gen_26.pkl,213,35,178,59189.654741346836,0.885699987411499,0.911300003528595,0.9008971333503724,0.911300003528595,0.01213858612060459,515302.0,518230.0,516975.4857142857,518230.0,1469.7368586292737,35,2,0.0,0.9117684497589511,0.06060606060606061,0.0,0.21490364005625986
27,global_gen_27.pkl,219,38,181,121426.95510077477,0.885699987411499,0.927299976348877,0.901528935683401,0.911300003528595,0.012600994308784195,515302.0,1289448.0,537292.7368421053,518230.0,125321.80748381327,38,2,0.0,0.6904163006223458,0.036377324982712615,0.0,0.12413198089577934
28,global_gen_28.pkl,227,35,192,121426.95510077477,0.885699987411499,0.927299976348877,0.901482846055712,0.911300003528595,0.012684055418344031,515302.0,1289448.0,539010.3428571429,518230.0,130586.0012545131,35,2,0.0,0.6904163006223458,0.039684354526595585,0.0,0.13069515024920844
29,global_gen_29.pkl,232,36,196,121426.95510077477,0.885699987411499,0.927299976348877,0.9017555448744032,0.911300003528595,0.012608158760662862,515302.0,1289448.0,538433.1111111111,518230.0,128753.55797353502,36,2,0.0,0.6904163006223458,0.03851716762875454,0.0,0.1288795117944924
30,global_gen_30.pkl,239,35,204,121426.95510077477,0.885699987411499,0.927299976348877,0.901482846055712,0.911300003528595,0.012684055418344031,515302.0,1289448.0,539010.3428571429,518230.0,130586.0012545131,35,2,0.0,0.6904163006223458,0.039684354526595585,0.0,0.13069515024920844
31,global_gen_31.pkl,246,39,207,121426.95510077477,0.885699987411499,0.927299976348877,0.9019281940582471,0.911300003528595,0.013728081438504462,515302.0,1289448.0,576278.5128205129,518230.0,208570.42915988984,39,2,0.0,0.6904163006223458,0.05405405405405406,0.0,0.16024561538058726
32,global_gen_32.pkl,254,39,215,152501.0844590664,0.885699987411499,0.9301999807357788,0.9024794743611262,0.911300003528595,0.014496596790145184,515302.0,1725576.0,618418.8717948718,518230.0,312611.8412673909,39,2,0.0,0.49726419559867874,0.05317339665291542,0.0,0.12084666988864275
33,global_gen_33.pkl,263,40,223,152501.0844590664,0.885699987411499,0.9301999807357788,0.9037399873137474,0.911300003528595,0.014618658834031231,515302.0,1725576.0,635267.8,518230.0,326281.4406439277,40,2,0.0,0.49726419559867874,0.051774096740996596,0.0,0.11951411078247383
34,global_gen_34.pkl,269,44,225,141242.1575294137,0.885699987411499,0.9301999807357788,0.9032795320857655,0.911300003528595,0.01439091984757411,515302.0,1725576.0,624428.4090909091,518230.0,312663.9715943157,44,2,0.0,0.49726419559867874,0.04684323038471121,0.0,0.11273541384671344
