generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
41,global_gen_41.pkl,319,71,248,75264.5740890503,0.5478000044822693,0.9226999878883362,0.8432689938746708,0.8614999651908875,0.0772877088450151,10282.0,541495.0,284571.07042253524,312934.0,208396.39383473876,71,3,0.0,0.19530248781787926,0.02659245962305411,0.006926274580977973,0.051155091515529855
42,global_gen_42.pkl,325,72,253,75264.5740890503,0.6787999868392944,0.9226999878883362,0.8487291460235914,0.8622499704360962,0.06872382659798444,10282.0,541495.0,291986.0,313198.0,206087.64527887534,72,3,0.0,0.19895578667689606,0.028416670419510445,0.007995062516449929,0.049479396432716115
43,global_gen_43.pkl,329,74,255,75264.5740890503,0.6542999744415283,0.9226999878883362,0.8476216011756176,0.8688999712467194,0.07211847060712559,10282.0,541495.0,291237.1081081081,313198.0,207577.31221564914,74,4,0.0,0.20504647943366697,0.026737355553511803,0.007001063298508148,0.04906533382136091
44,global_gen_44.pkl,334,72,262,74468.95688128471,0.6787999868392944,0.9226999878883362,0.8477610904309485,0.8622499704360962,0.06927153079009882,10282.0,541495.0,287914.5,312526.0,208477.72025090375,72,3,0.0,0.19895578667689606,0.028416670419510445,0.009656585997490662,0.04894829385449293
45,global_gen_45.pkl,339,75,264,74468.95688128471,0.6787999868392944,0.9226999878883362,0.848377312819163,0.8629999756813049,0.0690231215105851,10282.0,541495.0,288963.92,312934.0,207004.5610795817,75,3,0.0,0.19895578667689606,0.027232642485364177,0.009485434643360768,0.04715087500457579
46,global_gen_46.pkl,345,76,269,73047.05686974525,0.6787999868392944,0.9226999878883362,0.847349979375538,0.8622499704360962,0.06898520093720842,10282.0,541495.0,286597.0789473684,312526.0,206651.63666129936,76,3,0.0,0.1989219019639843,0.026859592588304393,0.009656585997490662,0.04667974159578271
47,global_gen_47.pkl,352,78,274,73047.05686974525,0.6787999868392944,0.9226999878883362,0.8469192102933542,0.8614999651908875,0.06831816841379323,10282.0,541495.0,284640.8461538461,312022.0,204966.3974874638,78,3,0.0,0.1989219019639843,0.02614333678594961,0.009656585997490662,0.04596968013177482
48,global_gen_48.pkl,358,78,280,73047.05686974525,0.6787999868392944,0.9226999878883362,0.8453704921098856,0.8614999651908875,0.0707313864608079,10282.0,541495.0,283379.3076923077,312022.0,206361.53438132742,78,3,0.0,0.1989219019639843,0.02642663514377611,0.009656585997490662,0.04615291147748918
49,global_gen_49.pkl,365,77,288,73047.05686974525,0.6787999868392944,0.9226999878883362,0.8475337454250881,0.8614999651908875,0.06854881740482537,10282.0,541495.0,286926.02597402595,312118.0,205307.87671964974,77,3,0.0,0.1989219019639843,0.026496625120894877,0.009485434643360768,0.04646394454092299
50,global_gen_50.pkl,373,79,294,73017.84644699097,0.6787999868392944,0.9226999878883362,0.8467645365980607,0.8614999651908875,0.06876355921919335,10282.0,541495.0,283825.87341772154,312118.0,205032.18179357858,79,3,0.0,0.1989219019639843,0.025799345512450274,0.009485434643360768,0.04579499223999781
