generation,file_path,total_entries,valid_entries,invalid_entries,pareto_front_area,dominated_pareto_area,objective_0_min,objective_0_max,objective_0_mean,objective_0_median,objective_0_stdev,objective_1_min,objective_1_max,objective_1_mean,objective_1_median,objective_1_stdev,crowding_total,crowding_infinite,crowding_min,crowding_max,crowding_mean,crowding_median,crowding_stdev
29,global_gen_29.pkl,233,58,175,49877.68576782942,56137.358211159706,0.8853999972343445,0.9210999608039856,0.906551704324525,0.9057999849319458,0.007897390343470295,455830.0,2078614.0,549729.3275862068,516831.0,211670.1327504901,58,4,0.0,0.4313286326901593,0.02650992558797763,0.011904662523833535,0.059392038564988064
30,global_gen_30.pkl,238,57,181,49877.68576782942,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9065368227791368,0.9057999849319458,0.007800284370653273,455830.0,2078614.0,551164.4736842106,516886.0,213266.80081574424,57,4,0.0,0.4313286326901593,0.02701011286322249,0.011204682892948613,0.0601731901490958
31,global_gen_31.pkl,242,56,186,49877.68576782942,56137.358211159706,0.8853999972343445,0.9210999608039856,0.9064589089580944,0.9057999849319458,0.007848463882140106,455830.0,2078614.0,551778.6428571428,517222.0,215145.98646444938,56,4,0.0,0.4313286326901593,0.027529538110592153,0.011904662523833535,0.06066493829097572
32,global_gen_32.pkl,248,61,187,49877.68576782942,56137.358211159706,0.8817999958992004,0.9210999608039856,0.9058294882539843,0.9057999849319458,0.008604148904252661,455830.0,2229670.0,577869.6721311476,516886.0,298430.6777601638,61,4,0.0,0.43916850929686224,0.032909244114439885,0.010178298429954621,0.07679756432980174
33,global_gen_33.pkl,257,64,193,192047.23331809044,1720703.9884533882,0.8817999958992004,0.9214999675750732,0.9061968559399247,0.9071499705314636,0.00843094602442674,455830.0,2323116.0,602828.78125,516831.0,364295.39379719883,64,3,0.0,0.417699361490367,0.03130507091400801,0.011334649540953826,0.07138149609793756
34,global_gen_34.pkl,264,64,200,192048.0061261654,1720703.9884533882,0.8817999958992004,0.9214999675750732,0.9066437305882573,0.907649964094162,0.008212623184929314,455830.0,2323116.0,632342.046875,517222.0,422364.5755601914,64,3,0.0,0.417699361490367,0.03171205239390564,0.011334649540953826,0.07216884396084791
35,global_gen_35.pkl,272,68,204,192048.3727275133,1720703.9884533882,0.8817999958992004,0.9214999675750732,0.9067014508387622,0.9078999757766724,0.008796508061370143,455830.0,2323116.0,654090.8382352941,517222.0,458629.90018967184,68,3,0.0,0.417699361490367,0.030600922662673224,0.01007574449557469,0.07019701555019808
36,global_gen_36.pkl,282,69,213,192048.3727275133,1720703.9884533882,0.8817999958992004,0.9214999675750732,0.9065492559170377,0.9078999757766724,0.008649010599442874,455830.0,2323116.0,651273.1449275363,517558.0,455853.7911778124,69,3,0.0,0.417699361490367,0.030124150556701954,0.010705197018264258,0.06965252666695328
37,global_gen_37.pkl,288,69,219,192048.3727275133,1720703.9884533882,0.8817999958992004,0.9214999675750732,0.9066376608351002,0.9078999757766724,0.008604936216662508,455830.0,2323116.0,652127.1304347826,517558.0,455537.35281758866,69,3,0.0,0.417699361490367,0.03006094092160564,0.010705197018264258,0.06970008934273167
38,global_gen_38.pkl,293,71,222,192045.23865962029,1720703.9884533882,0.8817999958992004,0.9214999675750732,0.9064267412037916,0.9078999757766724,0.008897633745874475,455830.0,2323116.0,650245.1267605633,517558.0,449275.4569180067,71,3,0.0,0.417699361490367,0.029176795600381944,0.0102713755476454,0.06757781537669177
39,global_gen_39.pkl,298,72,226,192045.23865962029,1720703.9884533882,0.8817999958992004,0.9214999675750732,0.9064069249563746,0.9078999757766724,0.008851640514189981,455830.0,2323116.0,647544.9166666666,517222.0,446688.32775840315,72,3,0.0,0.417699361490367,0.028814404880323607,0.009208101554336977,0.06728793036917381
40,global_gen_40.pkl,303,71,232,204332.88921678066,1722053.0644059181,0.8755999803543091,0.9214999675750732,0.9059901212302732,0.9078999757766724,0.009620273220503536,454366.0,2323116.0,649394.647887324,517558.0,449592.6550116576,71,2,0.0,0.41568080128163504,0.027937863860398676,0.009803603290073421,0.06689554761107308
41,global_gen_41.pkl,309,73,236,204336.0232846737,1722053.0644059181,0.8755999803543091,0.9214999675750732,0.9059273780208744,0.9078999757766724,0.009488163791998912,454366.0,2323116.0,669680.7260273972,517558.0,485310.9523638845,73,2,0.0,0.41568080128163504,0.027150881779824065,0.009803603290073421,0.06594949867712142
42,global_gen_42.pkl,314,74,240,204336.0232846737,1722053.0644059181,0.8755999803543091,0.9214999675750732,0.9054499808195475,0.9071499705314636,0.010053512948545484,454366.0,2323116.0,665974.3513513514,517222.0,482925.0089177729,74,2,0.0,0.41568080128163504,0.027717258702121845,0.009455830610658508,0.06569247173462342
43,global_gen_43.pkl,318,76,242,204336.0232846737,1722053.0644059181,0.820099949836731,0.9214999675750732,0.9043368226603458,0.9065499901771545,0.013937649277038854,454366.0,2323116.0,685834.8421052631,517894.0,513326.12967282446,76,3,0.0,0.4097185944302991,0.019870004078321474,0.004438017646263542,0.06400195903355216
44,global_gen_44.pkl,326,78,248,202128.51507782936,1726538.0289405584,0.820099949836731,0.9238999485969543,0.9043602362657205,0.9066499769687653,0.014084413194060048,454366.0,2326870.0,703924.9743589744,517894.0,540360.0476831916,78,4,0.0,0.408793066806753,0.019290378643091282,0.0050132985446080195,0.06341008329156254
45,global_gen_45.pkl,334,79,255,243383.988714844,1726557.430839479,0.7847999930381775,0.9238999485969543,0.9030949164040482,0.9068999886512756,0.019271206117173825,454345.0,2324986.0,701496.2784810127,517558.0,537239.4345990014,79,3,0.0,0.4079729903097846,0.02445800097409647,0.0036988616841712616,0.07470472572176506
46,global_gen_46.pkl,341,77,264,243383.988714844,1726557.430839479,0.7847999930381775,0.9238999485969543,0.9029402392251151,0.9068999886512756,0.019489612099666646,454345.0,2323116.0,682819.7532467532,517558.0,510591.32591391564,77,2,0.0,0.4083776347490348,0.02484056938044612,0.003772950708026033,0.07519867545097263
47,global_gen_47.pkl,347,79,268,243383.988714844,1726557.430839479,0.7443999648094177,0.9238999485969543,0.8991923845266994,0.9063999652862549,0.030165937130227152,454345.0,2323116.0,654200.0632911392,516776.0,469473.32520717906,79,3,0.0,0.40756862328355326,0.023438498236601383,0.002964608131348953,0.07064231864523027
48,global_gen_48.pkl,352,78,274,243383.988714844,1726557.430839479,0.7532999515533447,0.9238999485969543,0.8991166460208404,0.9060999751091003,0.029735398063594366,454345.0,2323116.0,676737.0256410256,517222.0,498196.02724969207,78,3,0.0,0.37076964624464837,0.01908854946569142,0.003265665210027291,0.055683245765522
49,global_gen_49.pkl,360,81,279,243383.988714844,1726557.430839479,0.7532999515533447,0.9238999485969543,0.8998407199059004,0.9068999886512756,0.029410261096249907,454345.0,2323116.0,681564.4814814815,516886.0,495808.3837012065,81,3,0.0,0.3683358772180879,0.020655719004877737,0.0030686402561533065,0.05772270065702222
50,global_gen_50.pkl,366,80,286,243383.988714844,1726557.430839479,0.7532999515533447,0.9238999485969543,0.899496228992939,0.9066499769687653,0.029459882548011983,454345.0,2323116.0,695317.25,517222.0,525548.2725861546,80,3,0.0,0.37076964624464837,0.01859274298606307,0.0031092542069041905,0.055010109333634816
51,global_gen_51.pkl,371,81,290,205536.17807802558,1726557.430839479,0.7532999515533447,0.9238999485969543,0.8990802257149307,0.9063999652862549,0.029472387137037204,454345.0,2323116.0,692342.2839506173,516886.0,522939.1539612002,81,3,0.0,0.37076964624464837,0.01835444652042069,0.003187459708465741,0.053417400647461664
52,global_gen_52.pkl,377,82,295,205536.17807802558,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9009304664483885,0.9071499705314636,0.026509233730676283,454345.0,2323116.0,712710.9024390244,517222.0,549808.1430508082,82,3,0.0,0.37076964624464837,0.018088650284006486,0.0031092542069041905,0.056587976564904385
53,global_gen_53.pkl,384,84,300,205546.36394003034,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9005297408217475,0.9066499769687653,0.026188992647839644,454345.0,2323116.0,685081.8571428572,516776.0,514823.9506536481,84,3,0.0,0.37076964624464837,0.017544321415514878,0.002961546183245464,0.05595762969757028
54,global_gen_54.pkl,389,86,303,205543.36305382848,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9006081181903218,0.9066499769687653,0.02608237703669447,454345.0,2323116.0,701471.7325581395,516776.0,539181.2689323219,86,3,0.0,0.37076964624464837,0.017220437706265575,0.0030280263054024226,0.055308842574134834
55,global_gen_55.pkl,397,84,313,205543.36305382848,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9008833120266596,0.9071499705314636,0.026221828587144235,454345.0,2323116.0,685816.5476190476,516776.0,514535.68331053684,84,3,0.0,0.37076964624464837,0.017544321415514878,0.002696273571213477,0.056042957077505215
56,global_gen_56.pkl,403,85,318,205543.36305382848,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9004976258558386,0.9068999886512756,0.026306707168314993,454345.0,2323116.0,683093.3529411765,516776.0,512079.64405030146,85,3,0.0,0.37076964624464837,0.017598498480653122,0.0028289098772294706,0.055698099169056006
57,global_gen_57.pkl,410,88,322,205543.36305382848,1726557.430839479,0.7532999515533447,0.9238999485969543,0.901209069923921,0.9071499705314636,0.02572566872602556,454345.0,5390136.0,732558.2954545454,516776.0,711407.0403526479,88,4,0.0,0.2928582529148041,0.012201778205552023,0.002557738889268497,0.04065763401876305
58,global_gen_58.pkl,419,92,327,205813.49878564477,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9011151965545572,0.907649964094162,0.02565632023002128,454345.0,5390136.0,761713.3804347826,516776.0,734741.4046657167,92,4,0.0,0.2928582529148041,0.011980224917115466,0.0026376627991194163,0.03976213555000608
59,global_gen_59.pkl,425,91,334,205813.49878564477,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9018318469707782,0.9078999757766724,0.025503232152968736,454345.0,5390136.0,785618.5604395604,516776.0,755155.503991863,91,4,0.0,0.2928582529148041,0.011865246474674341,0.002477814979417577,0.039977276332733284
60,global_gen_60.pkl,433,93,340,205813.49878564477,1726557.430839479,0.7532999515533447,0.9238999485969543,0.9021268602340452,0.9079999923706055,0.02530360452832185,454345.0,5390136.0,818672.1612903225,516886.0,779816.5261373329,93,4,0.0,0.2928582529148041,0.011598611722434468,0.0023447056155891655,0.03956347358162418
